user_id,recomendations
57,"[1000753, 1029743, 5569230, 8014645, 848319]"
58,"[874972, 951590, 1093966, 862349, 1136375]"
59,"[1000753, 995242, 1056509, 981760, 845208]"
60,"[1000753, 995242, 884518, 916122, 961554]"
63,"[1000753, 995242, 1068719, 1040346, 856772]"
64,"[1013928, 1000753, 995242, 856060, 912137]"
65,"[1000753, 995242, 1085604, 962229, 986912]"
67,"[1000753, 1058997, 844179, 971922, 833025]"
68,"[874972, 1127831, 1029743, 1085604, 951590]"
69,"[1000753, 1127831, 908531, 1106523, 951590]"
70,"[1000753, 1029743, 1039156, 981760, 925626]"
71,"[874972, 1133018, 1056509, 1044078, 897954]"
72,"[874972, 1029743, 981760, 9296919, 914190]"
73,"[1000753, 995242, 1085604, 1005186, 5567702]"
74,"[874972, 995242, 981760, 1005186, 830795]"
75,"[1000753, 1029743, 981760, 1127831, 5569230]"
76,"[1000753, 995242, 899682, 851287, 1026118]"
77,"[874972, 995242, 908531, 981760, 916122]"
78,"[1000753, 995242, 923746, 8205218, 9420336]"
79,"[874972, 995242, 1010164, 1053690, 1005186]"
80,"[874972, 1106523, 1005186, 969866, 1055504]"
81,"[1000753, 5569230, 1029743, 844165, 1096036]"
82,"[849202, 995242, 981760, 1119761, 880150]"
83,"[1000753, 995242, 1059902, 1037332, 845208]"
84,"[1000753, 1029743, 951590, 9487927, 1029624]"
85,"[874972, 1029743, 1127831, 983936, 1005186]"
86,"[1000753, 1127831, 865026, 951590, 995242]"
87,"[1000753, 995242, 8293385, 1037863, 845208]"
88,"[874972, 1133018, 893018, 1075368, 12949590]"
89,"[1000753, 1029743, 941313, 9296804, 12731306]"
90,"[1000753, 995242, 6464166, 1068719, 862535]"
91,"[1000753, 1133018, 1127831, 1088147, 911088]"
92,"[1000753, 1029743, 962568, 877447, 906763]"
94,"[1000753, 995242, 1005186, 969866, 1037863]"
95,"[1000753, 951590, 1029743, 908531, 922561]"
97,"[874972, 5569230, 1058997, 1075368, 962229]"
98,"[1000753, 995242, 1043590, 1134522, 1095040]"
99,"[874972, 961554, 923746, 824073, 1013528]"
101,"[874972, 1029743, 951590, 1121360, 1090931]"
103,"[1000753, 995242, 961846, 1089766, 1079228]"
104,"[1000753, 1133018, 1011300, 996156, 1014802]"
105,"[874972, 1029743, 1005186, 1135868, 961554]"
106,"[1000753, 995242, 1005186, 981760, 8019977]"
108,"[1000753, 981760, 998558, 1024306, 980823]"
109,"[874972, 995242, 856215, 902659, 1051516]"
110,"[874972, 995242, 951590, 1044078, 859075]"
111,"[1000753, 995242, 5569230, 932179, 847982]"
112,"[1000753, 995242, 1011300, 9527159, 5568378]"
113,"[1000753, 1133018, 962970, 1131550, 833458]"
114,"[948670, 1000753, 1133018, 1046689, 5568489]"
115,"[1000753, 916122, 12648296, 1018007, 862349]"
116,"[1000753, 1029743, 923746, 1013703, 908531]"
117,"[874972, 1029743, 852360, 951590, 901062]"
118,"[1000753, 1029743, 893018, 1126252, 896369]"
119,"[1000753, 1133018, 908531, 981760, 841228]"
120,"[1000753, 1029743, 1007136, 1024306, 981760]"
121,"[1000753, 1133018, 1039156, 989069, 923746]"
122,"[874972, 1029743, 981760, 940947, 1045109]"
123,"[874972, 1133018, 1127831, 981760, 1056509]"
124,"[1000753, 995242, 1037840, 833025, 947798]"
125,"[874972, 1106523, 5569230, 844165, 834117]"
127,"[874972, 5569230, 862349, 1075368, 1005186]"
128,"[1000753, 995242, 1098248, 1003188, 903325]"
131,"[1000753, 1133018, 5569230, 1075214, 908531]"
132,"[874972, 995242, 1110572, 999198, 1096036]"
133,"[1000753, 1106523, 1103741, 866211, 869728]"
135,"[1000753, 995242, 1046584, 926422, 986912]"
136,"[1000753, 995242, 8090521, 1029624, 949965]"
138,"[1000753, 1106523, 819978, 858302, 13841744]"
139,"[1021324, 1000753, 1029743, 879755, 909894]"
142,"[1000753, 1029743, 997011, 1074524, 1093966]"
143,"[874972, 862349, 859075, 962229, 1053690]"
144,"[1000753, 995242, 5585510, 845208, 879755]"
145,"[1000753, 995242, 893501, 951412, 921744]"
147,"[874972, 1029743, 908531, 961554, 1003188]"
148,"[1000753, 981760, 995242, 5569230, 5568378]"
149,"[874972, 995242, 908531, 6533936, 981760]"
151,"[1000753, 1133018, 916122, 961554, 1028473]"
152,"[874972, 995242, 1037332, 962568, 1126252]"
153,"[1000753, 1029743, 981760, 859075, 951221]"
154,"[1000753, 1029743, 1074333, 1057260, 923746]"
155,"[1000753, 1133018, 979877, 12648296, 1015280]"
156,"[874972, 862349, 1006184, 911311, 937791]"
157,"[844462, 1000753, 1029743, 981760, 962229]"
158,"[874972, 1029743, 1025641, 12731714, 909894]"
159,"[1000753, 1029743, 923746, 8205218, 981760]"
160,"[1000753, 1029743, 1135834, 1005186, 962568]"
161,"[874972, 1029743, 868764, 9677202, 957063]"
162,"[1000753, 1133018, 964521, 1122358, 1031906]"
163,"[1000753, 1029743, 8290421, 923746, 961554]"
164,"[874972, 951590, 1029743, 963971, 981760]"
165,"[874972, 995242, 1027284, 944534, 916122]"
166,"[1000753, 995242, 1075368, 951590, 1053690]"
167,"[1000753, 1029743, 833724, 1009046, 13945244]"
171,"[1000753, 1133018, 1044078, 987724, 908531]"
172,"[1000753, 995242, 1110572, 932298, 1043416]"
175,"[1000753, 1127831, 1029743, 913490, 845208]"
177,"[1000753, 995242, 8203451, 866211, 854852]"
178,"[1000753, 995242, 972312, 1085604, 1040807]"
180,"[1000753, 1133018, 1044805, 830503, 1038217]"
182,"[1000753, 995242, 1134522, 1044078, 1037863]"
183,"[1000753, 995242, 819840, 1043590, 1053690]"
184,"[1000753, 995242, 896085, 824005, 6533936]"
185,"[874972, 981760, 1106523, 844165, 1085604]"
188,"[1000753, 1029743, 1005186, 908531, 1125382]"
189,"[1000753, 995242, 996156, 986912, 9707498]"
191,"[874972, 1029743, 1039156, 865456, 914190]"
192,"[1000753, 1133018, 981760, 5569230, 1082212]"
193,"[1000753, 1127831, 1029743, 8090537, 937686]"
194,"[1000753, 1029743, 6391381, 961554, 951412]"
195,"[874972, 1133018, 981760, 961554, 1062128]"
196,"[1000753, 995242, 923746, 1044078, 1101173]"
197,"[1000753, 995242, 963835, 951590, 9881593]"
198,"[1000753, 862349, 844165, 819765, 899624]"
199,"[1000753, 1029743, 859237, 1005186, 986912]"
200,"[1000753, 995242, 1037894, 963971, 823990]"
201,"[1000753, 1127831, 1138292, 8205218, 6034857]"
203,"[1000753, 1133018, 901776, 1005186, 1127328]"
204,"[1000753, 995242, 923746, 1053690, 872137]"
205,"[1000753, 995242, 819840, 981760, 1028816]"
206,"[1000753, 995242, 982790, 1044078, 957951]"
207,"[1000753, 1029743, 1077048, 976199, 1138189]"
208,"[874972, 995242, 981760, 1055425, 865456]"
209,"[1000753, 951590, 923746, 995242, 5592931]"
210,"[874972, 995242, 1127831, 879755, 1081177]"
211,"[1000753, 995242, 841266, 862732, 962229]"
212,"[874972, 1133018, 1096317, 1004906, 866211]"
214,"[874972, 995242, 833724, 6772684, 916758]"
215,"[874972, 1029743, 1005186, 1024306, 882288]"
216,"[974156, 874972, 995242, 6533936, 986912]"
217,"[1000753, 862349, 1044078, 841266, 951590]"
218,"[874972, 1133018, 1097001, 931672, 962568]"
219,"[874972, 1029743, 908531, 981760, 1127831]"
220,"[874972, 1133018, 899682, 912704, 1068719]"
221,"[1000753, 1029743, 819978, 867188, 937928]"
222,"[874972, 1133018, 1105623, 847982, 999779]"
223,"[1000753, 1106523, 879755, 844165, 897306]"
224,"[1000753, 1127831, 951590, 5592931, 1106523]"
225,"[1000753, 981760, 1029743, 1110244, 857503]"
226,"[1000753, 1133018, 933067, 948232, 977798]"
227,"[1000753, 995242, 908531, 871722, 845193]"
228,"[1000753, 995242, 890610, 1039156, 923746]"
230,"[874972, 1133018, 951590, 961554, 5572828]"
232,"[874972, 951590, 1029743, 844165, 923746]"
233,"[1000753, 1133018, 1122568, 862535, 1131488]"
235,"[1000753, 995242, 862732, 983584, 1121384]"
236,"[874972, 1133018, 1014948, 1039156, 893501]"
237,"[1000753, 995242, 881154, 1120009, 914190]"
238,"[1000753, 995242, 1102416, 1067749, 1077490]"
239,"[874972, 995242, 910439, 1096036, 1044078]"
240,"[1000753, 995242, 938512, 1022428, 926905]"
242,"[1000753, 5569230, 853643, 862732, 1029743]"
243,"[1000753, 995242, 8020234, 6034857, 1117393]"
244,"[1000753, 1029743, 5569230, 909894, 913210]"
245,"[1000753, 1127831, 5569230, 1061220, 923746]"
246,"[1000753, 995242, 819304, 1044805, 951590]"
247,"[1000753, 995242, 5569230, 878445, 986912]"
248,"[1000753, 951590, 1126899, 939546, 1062002]"
249,"[1000753, 1133018, 1053690, 916122, 972931]"
250,"[1000753, 1133018, 844165, 951590, 1056509]"
251,"[874972, 1106523, 1127831, 1040807, 893501]"
253,"[1000753, 995242, 844165, 923746, 1044078]"
254,"[1000753, 995242, 859237, 1122568, 845208]"
255,"[1000753, 995242, 946839, 1068719, 847344]"
256,"[1000753, 995242, 981760, 1006250, 1111786]"
257,"[1000753, 5569230, 1106523, 859075, 1093413]"
258,"[1000753, 1133018, 935968, 909894, 5592931]"
259,"[1075007, 1000753, 995242, 881154, 879755]"
260,"[1000753, 995242, 1028816, 880427, 855138]"
261,"[1000753, 1029743, 867667, 865456, 1092026]"
262,"[874972, 995242, 951590, 1124971, 981760]"
263,"[874972, 1133018, 1005186, 951590, 1044078]"
267,"[1000753, 995242, 844165, 1011457, 902172]"
269,"[1000753, 995242, 962229, 981760, 883963]"
271,"[1000753, 995242, 1018740, 986912, 981760]"
273,"[1000753, 1127831, 908531, 1053690, 1005186]"
275,"[874972, 995242, 923746, 969932, 1050851]"
276,"[874972, 1106523, 1089766, 1058930, 944534]"
277,"[1000753, 1133018, 841266, 845208, 908531]"
278,"[917384, 1000753, 1029743, 870515, 1070845]"
279,"[1000753, 1106523, 5569230, 1082212, 962568]"
280,"[1000753, 5569230, 951590, 1106523, 923746]"
281,"[1000753, 1029743, 1018050, 999104, 1083721]"
282,"[1000753, 1133018, 916122, 981760, 923746]"
283,"[1000753, 1029743, 940947, 850841, 5569471]"
285,"[1000753, 1127831, 5569230, 923746, 995242]"
286,"[1000753, 1029743, 1081177, 966684, 1119051]"
287,"[1000753, 908531, 1106523, 981760, 952317]"
288,"[1000753, 1133018, 1005456, 841309, 932179]"
289,"[1000753, 1029743, 945662, 981760, 909714]"
290,"[1000753, 1106523, 873964, 923746, 962229]"
291,"[1000753, 1029743, 1120213, 1005186, 1039589]"
292,"[1000753, 1029743, 986912, 1038217, 8090521]"
293,"[1000753, 908531, 995242, 981760, 824005]"
294,"[874972, 951590, 1106523, 983584, 948254]"
297,"[874972, 1133018, 1127831, 908531, 844165]"
300,"[1000753, 995242, 962229, 835618, 981760]"
301,"[874972, 1133018, 981760, 5565322, 898510]"
302,"[1000753, 995242, 1102959, 10344586, 1027168]"
303,"[1000753, 1127831, 916122, 995242, 951590]"
304,"[874972, 1127831, 1029743, 868764, 923746]"
305,"[874972, 1133018, 934172, 1044089, 6463727]"
306,"[874972, 1106523, 923746, 961554, 6534480]"
307,"[874972, 995242, 1082172, 1039156, 845208]"
308,"[1000753, 995242, 963835, 1043787, 1110572]"
311,"[1000753, 995242, 1005186, 1063207, 866211]"
314,"[1000753, 995242, 1005911, 1043973, 893018]"
316,"[1000753, 1029743, 5592931, 1081177, 866211]"
317,"[1000753, 1133018, 5569230, 983584, 951590]"
318,"[1021324, 1000753, 995242, 7025203, 5569230]"
319,"[874972, 1127831, 1106523, 976199, 961554]"
320,"[1000753, 995242, 842707, 914190, 1128016]"
321,"[874972, 995242, 5569230, 923746, 1056509]"
322,"[1000753, 1029743, 923746, 981760, 1119051]"
324,"[1000753, 995242, 1057260, 903325, 1127831]"
325,"[1000753, 1133018, 1053690, 908531, 983936]"
326,"[1000753, 1029743, 8090521, 908531, 1025581]"
328,"[1000753, 995242, 981760, 979707, 821083]"
329,"[1000753, 1133018, 934369, 944836, 1005186]"
331,"[1000753, 1133018, 1103752, 917381, 981760]"
332,"[1000753, 1106523, 908181, 981760, 961554]"
334,"[1000753, 951590, 916122, 826144, 860975]"
335,"[9677366, 1000753, 995242, 1075368, 1005456]"
338,"[1000753, 5569230, 1106523, 1026118, 1028816]"
339,"[1000753, 981760, 1106523, 923746, 1082172]"
341,"[1000753, 995242, 916122, 9245312, 1027569]"
342,"[1000753, 995242, 981760, 832678, 1005186]"
343,"[1000753, 1029743, 923746, 1079228, 844165]"
345,"[874972, 862349, 6602697, 1048483, 855356]"
346,"[874972, 1133018, 981760, 835098, 819978]"
347,"[1000753, 995242, 906017, 899624, 1037863]"
348,"[1000753, 5569230, 981760, 1043590, 845208]"
349,"[1000753, 995242, 1011300, 981760, 960791]"
350,"[1075007, 1000753, 995242, 961554, 1091365]"
351,"[1000753, 995242, 916122, 892573, 951590]"
353,"[1000753, 995242, 5569230, 979707, 1119051]"
354,"[1000753, 995242, 916122, 859075, 1050851]"
356,"[1000753, 981760, 834117, 1075368, 947798]"
357,"[1000753, 1029743, 1071277, 916122, 1047226]"
358,"[1000753, 995242, 5569230, 981760, 872137]"
360,"[1000753, 1029743, 1073150, 1005186, 863802]"
361,"[874972, 1058997, 8090521, 981760, 1101010]"
362,"[1000753, 995242, 923746, 986912, 841228]"
364,"[1000753, 995242, 995816, 1004906, 869910]"
365,"[1000753, 995242, 908531, 956672, 981760]"
367,"[874972, 1029743, 1031864, 961554, 1081177]"
368,"[1000753, 981760, 908531, 1083446, 844165]"
371,"[1000753, 1133018, 844165, 919423, 1022254]"
374,"[1108094, 995242, 1127831, 1037840, 879755]"
375,"[1000753, 995242, 8090532, 914190, 965766]"
376,"[1000753, 995242, 1061220, 844179, 844685]"
377,"[874972, 1133018, 5569230, 880150, 961554]"
378,"[874972, 995242, 1127831, 9878513, 933835]"
380,"[874972, 1029743, 923746, 951590, 845193]"
381,"[1000753, 1133018, 859075, 1128016, 1075368]"
382,"[1000753, 1133018, 999250, 845109, 908531]"
384,"[874972, 995242, 8019977, 1055504, 6602697]"
385,"[1000753, 995242, 1057260, 859075, 1087102]"
386,"[874972, 862349, 1044078, 1065122, 1092026]"
387,"[874972, 995242, 5569230, 916122, 923746]"
388,"[1000753, 1133018, 961554, 1029504, 874061]"
389,"[874972, 1029743, 9835509, 852360, 1024731]"
390,"[1000753, 1133018, 951590, 888543, 5569230]"
392,"[1000753, 995242, 1028473, 903325, 981760]"
393,"[1013928, 874972, 1127831, 1029743, 1042702]"
394,"[1000753, 995242, 1026118, 835098, 1091520]"
395,"[1000753, 1133018, 1053690, 962229, 5569230]"
396,"[1000753, 995242, 1075368, 834103, 991268]"
397,"[874972, 1133018, 892573, 961554, 876695]"
398,"[1000753, 1133018, 1092026, 847982, 8090521]"
399,"[849202, 1000753, 995242, 896862, 916122]"
400,"[1000753, 951590, 908531, 1029743, 5567702]"
401,"[1000753, 1029743, 986912, 965766, 993638]"
402,"[1000753, 995242, 13842214, 859075, 914190]"
403,"[874972, 1029743, 1127831, 944534, 1130375]"
404,"[874972, 1029743, 992986, 1110142, 1004906]"
405,"[948670, 874972, 5569230, 995242, 1039156]"
406,"[1000753, 1106523, 1127831, 1039156, 967476]"
408,"[1000753, 995242, 923746, 1127831, 1075470]"
409,"[874972, 995242, 979707, 856345, 844179]"
410,"[1000753, 1133018, 1044078, 871611, 819308]"
411,"[1000753, 995242, 923746, 1046689, 951590]"
412,"[1000753, 951590, 908531, 1133018, 849098]"
413,"[1000753, 995242, 923746, 986912, 12731544]"
414,"[1000753, 1127831, 1029743, 1014999, 1082212]"
415,"[1000753, 995242, 1062572, 1077490, 872762]"
417,"[1000753, 1106523, 1127831, 1045220, 8019716]"
418,"[874972, 1133018, 5569230, 852360, 855356]"
419,"[1000753, 1133018, 5569230, 908531, 1071759]"
420,"[1000753, 862349, 1044078, 1059902, 916122]"
421,"[874972, 1133018, 923746, 981760, 1031864]"
424,"[1000753, 1029743, 983316, 1040807, 1127831]"
425,"[1000753, 981760, 1070820, 923746, 969419]"
426,"[874972, 995242, 5569230, 899682, 961554]"
427,"[1000753, 1133018, 1009449, 893501, 1102416]"
430,"[1000753, 981760, 1029743, 893501, 908531]"
431,"[1000753, 1029743, 1092937, 834117, 898212]"
432,"[874972, 1133018, 951590, 1089766, 1044078]"
433,"[1000753, 995242, 951590, 998373, 925862]"
434,"[1000753, 1133018, 845109, 1039781, 951590]"
435,"[1000753, 995242, 862732, 1004906, 929726]"
436,"[1000753, 1133018, 981760, 903325, 961554]"
437,"[874972, 908531, 1053690, 962229, 1120009]"
438,"[1000753, 981760, 5569230, 1070820, 951590]"
439,"[1000753, 1029743, 819840, 1075368, 879755]"
441,"[1000753, 995242, 1124971, 1038985, 6602729]"
442,"[874972, 1029743, 1085604, 1110843, 961554]"
443,"[1000753, 995242, 1057260, 982393, 981760]"
445,"[829291, 1000753, 1029743, 908531, 1044078]"
446,"[1000753, 995242, 1044188, 1136719, 1103752]"
447,"[1000753, 1106523, 1057260, 1092937, 908531]"
448,"[1000753, 995242, 1132771, 1128016, 1057315]"
449,"[1000753, 1133018, 1044805, 1053690, 965766]"
450,"[874972, 1106523, 1127831, 13842214, 1093413]"
451,"[1000753, 1133018, 962229, 1044078, 1026118]"
452,"[1000753, 981760, 908531, 986912, 1100658]"
454,"[1000753, 1005186, 1126899, 981760, 5569230]"
456,"[1108094, 1000753, 1029743, 1017363, 8090536]"
457,"[1000753, 1133018, 1005186, 5592931, 909894]"
458,"[874972, 1029743, 1023958, 1068719, 981760]"
459,"[1000753, 995242, 885290, 972312, 847344]"
460,"[1000753, 1029743, 7025106, 961554, 1127831]"
461,"[1000753, 1133018, 918684, 916122, 867667]"
462,"[1000753, 1133018, 1106073, 854852, 1024306]"
463,"[1000753, 995242, 981760, 1046689, 838797]"
464,"[874972, 1133018, 923746, 1037863, 993638]"
466,"[1000753, 995242, 895652, 1068719, 847982]"
467,"[1000753, 995242, 1024306, 893501, 1037863]"
468,"[1000753, 1127831, 1106523, 1013999, 1044078]"
469,"[1000753, 1133018, 907392, 1098248, 5569230]"
470,"[1000753, 1029743, 840601, 1005186, 908531]"
471,"[1075007, 1000753, 1029743, 1026118, 908531]"
472,"[1000753, 1133018, 981760, 871754, 916122]"
473,"[1000753, 1133018, 1053016, 1056509, 1044068]"
474,"[1000753, 1127831, 1029743, 1092026, 1031083]"
475,"[1000753, 1133018, 908531, 981760, 962229]"
476,"[1000753, 995242, 1068719, 7442008, 1139525]"
477,"[1000753, 981760, 908531, 1029743, 986912]"
479,"[1000753, 1029743, 1085604, 962229, 1044078]"
480,"[1000753, 995242, 1051516, 1127831, 893501]"
481,"[874972, 1029743, 1130858, 908531, 845208]"
482,"[1000753, 995242, 5585510, 845208, 844165]"
483,"[1000753, 995242, 1118533, 1068719, 953104]"
484,"[874972, 1133018, 1005186, 1117514, 1050851]"
485,"[874972, 1133018, 1030362, 845193, 996156]"
486,"[1000753, 995242, 1077048, 8020234, 925862]"
487,"[1000753, 995242, 912112, 952317, 1092264]"
488,"[1000753, 1133018, 943393, 1026118, 1037863]"
489,"[874972, 995242, 986912, 1019247, 1022254]"
490,"[1000753, 995242, 1075368, 1044078, 925626]"
491,"[1000753, 995242, 6533936, 1055504, 903325]"
493,"[1000753, 1133018, 8090539, 873627, 951197]"
495,"[1000753, 5569230, 951590, 1029743, 923746]"
496,"[1000753, 995242, 999270, 823990, 923746]"
497,"[1000753, 1133018, 9707137, 1071759, 976199]"
498,"[1000753, 995242, 1028891, 856060, 908531]"
501,"[1000753, 1029743, 1039156, 899624, 962568]"
502,"[1000753, 1133018, 981760, 923746, 1096036]"
503,"[1000753, 995242, 1073150, 8090536, 1013167]"
505,"[1000753, 995242, 7441498, 1014802, 1038325]"
506,"[1000753, 1029743, 1005186, 913490, 909338]"
507,"[874972, 995242, 1036501, 1127470, 951590]"
510,"[874972, 1133018, 1036501, 1107553, 929018]"
511,"[874972, 1127831, 1029743, 844165, 1110572]"
512,"[874972, 995242, 1108168, 981760, 1101010]"
513,"[874972, 1029743, 1018740, 1093413, 8090532]"
514,"[1000753, 995242, 1110843, 1062002, 1127831]"
515,"[1000753, 908531, 1106523, 866292, 1005609]"
517,"[874972, 1029743, 1028816, 1062128, 1081177]"
518,"[874972, 5569230, 951590, 995242, 908531]"
519,"[1000753, 1133018, 1039156, 981760, 976199]"
520,"[1000753, 5569230, 951590, 1133018, 1104343]"
521,"[1000753, 995242, 923746, 1053690, 1028816]"
523,"[874972, 1133018, 5569230, 1110572, 13842214]"
524,"[1000753, 5569230, 1106523, 1037863, 981760]"
525,"[1000753, 995242, 1026118, 1104343, 913490]"
526,"[1000753, 1133018, 1044078, 847982, 5569230]"
527,"[1000753, 995242, 1131321, 1046584, 933835]"
528,"[1000753, 995242, 914190, 819304, 887102]"
530,"[1000753, 995242, 946839, 12648296, 1081177]"
532,"[1130729, 1000753, 995242, 898212, 937276]"
534,"[1000753, 1029743, 1130111, 841228, 993466]"
536,"[1000753, 1106523, 888054, 923746, 1044078]"
537,"[829291, 1000753, 995242, 1057260, 951561]"
538,"[1000753, 995242, 903325, 1082212, 1009368]"
539,"[1000753, 995242, 860975, 833025, 1018397]"
540,"[1000753, 1029743, 6391381, 962568, 1000237]"
541,"[1000753, 995242, 1127831, 899624, 1101173]"
542,"[1000753, 5569230, 1106523, 1050851, 844165]"
543,"[1000753, 1029743, 981760, 844165, 989409]"
544,"[874972, 995242, 1085604, 1110572, 866211]"
545,"[1000753, 1029743, 1070076, 986912, 1040807]"
548,"[874972, 1133018, 923746, 854852, 1005186]"
550,"[1000753, 1133018, 835098, 899624, 981760]"
551,"[1000753, 1133018, 1022254, 1011926, 833025]"
553,"[849202, 874972, 862349, 1037332, 1030362]"
554,"[1000753, 995242, 867188, 8090537, 850102]"
557,"[874972, 995242, 819330, 1127831, 888275]"
558,"[1000753, 995242, 893018, 870547, 10149640]"
560,"[1000753, 1133018, 999104, 981760, 1104414]"
561,"[1000753, 1029743, 1127831, 981760, 1046201]"
562,"[1000753, 1106523, 1127831, 8090536, 957951]"
564,"[1000753, 1133018, 1039156, 867188, 1053690]"
567,"[874972, 995242, 1089766, 1076875, 986912]"
568,"[1038663, 1000753, 908531, 1106523, 844165]"
569,"[1000753, 1133018, 1028473, 1127831, 12428017]"
570,"[1000753, 1133018, 908531, 981760, 1044078]"
573,"[1000753, 1133018, 8090521, 1068719, 938512]"
574,"[1000753, 981760, 1029743, 933835, 914754]"
575,"[874972, 995242, 1053690, 953561, 9571047]"
577,"[1000753, 1133018, 841266, 868548, 951590]"
578,"[1000753, 1029743, 847207, 8090521, 854405]"
579,"[1000753, 1029743, 1091365, 961554, 916122]"
580,"[1000753, 1029743, 1056509, 981760, 909894]"
581,"[1000753, 1133018, 1062966, 1039589, 1110764]"
582,"[1021324, 1000753, 981760, 1119051, 5568378]"
583,"[1021324, 1000753, 1106523, 5569230, 1053690]"
585,"[1000753, 995242, 1036501, 1085604, 923746]"
586,"[1000753, 908531, 1029743, 1092026, 990004]"
587,"[1000753, 995242, 863449, 965292, 1068719]"
588,"[874972, 1029743, 951590, 1050851, 914190]"
590,"[874972, 995242, 1068719, 981760, 923746]"
591,"[1000753, 1029743, 1005186, 933067, 838097]"
592,"[1000753, 1133018, 1026118, 854852, 923789]"
593,"[1000753, 995242, 1085604, 5592931, 995230]"
594,"[1000753, 951590, 1106523, 1085604, 8090521]"
595,"[1000753, 951590, 1107553, 1093966, 1029743]"
596,"[1000753, 1029743, 8090521, 1025581, 9527159]"
597,"[1000753, 1133018, 1025611, 1127470, 893018]"
598,"[1000753, 995242, 5569230, 12731544, 981760]"
599,"[1000753, 995242, 1039781, 936914, 1138443]"
600,"[1000753, 1133018, 1005186, 951590, 916122]"
601,"[874972, 995242, 1037332, 1017363, 961554]"
602,"[1000753, 995242, 844165, 1021116, 1014948]"
603,"[1000753, 1127831, 1043590, 5592931, 1106523]"
604,"[1000753, 1133018, 900586, 6979545, 914577]"
605,"[874972, 995242, 993441, 7433888, 931672]"
606,"[1000753, 1133018, 845208, 1024306, 1018050]"
608,"[1013928, 1000753, 1029743, 1038462, 1039156]"
609,"[1000753, 995242, 1015974, 1005186, 1053690]"
610,"[1000753, 995242, 996506, 1088147, 844165]"
611,"[1000753, 995242, 12648296, 1013572, 8090536]"
612,"[1000753, 1133018, 826695, 925626, 12132648]"
614,"[874972, 1133018, 961554, 1039781, 1062002]"
615,"[1000753, 1029743, 1125382, 986021, 961554]"
617,"[874972, 995242, 1081177, 854852, 1137176]"
618,"[1000753, 995242, 1037840, 879755, 947798]"
621,"[1000753, 995242, 943362, 7024871, 981760]"
622,"[1038663, 1000753, 995242, 986912, 1031260]"
623,"[1000753, 1133018, 1082310, 9707137, 1139827]"
624,"[1000753, 995242, 908531, 844179, 1101173]"
625,"[1000753, 1029743, 951590, 933835, 6602697]"
627,"[1000753, 995242, 1057260, 936914, 1007269]"
628,"[1000753, 995242, 5569230, 1101173, 6979545]"
630,"[1000753, 995242, 5569230, 1106271, 916122]"
631,"[874972, 1133018, 951590, 899682, 937413]"
632,"[849202, 1133018, 1127831, 1057260, 935284]"
633,"[833940, 874972, 916122, 12302069, 8090537]"
635,"[1000753, 1029743, 854852, 1026118, 1037863]"
636,"[874972, 5569230, 1029743, 5981074, 5592931]"
637,"[1000753, 995242, 926905, 859075, 914190]"
